idx,x,y,z
0,-0.30175105,-0.61278623,2.0703125
1,0.07062827,-0.60274917,2.0212548
2,-0.31706268,-0.6021385,2.0860238
3,0.1192933,-0.5270395,2.4416637
4,0.11916134,-0.5254845,2.4443347
5,0.11901411,-0.5250988,2.4469423
6,-0.15711316,-0.554335,2.2866116
7,0.11886806,-0.5277386,2.4491775
8,-0.16045544,-0.5603452,2.2804482
9,0.11874458,-0.5275196,2.4490435
10,-0.1616197,-0.5604092,2.2782593
11,0.11674507,-0.5252068,2.449587
12,-0.16270243,-0.5600399,2.2788424
13,0.114726625,-0.52691364,2.4499285
14,-0.1642697,-0.56321144,2.2804356
15,0.11550525,-0.5279572,2.4489079
16,-0.16537237,-0.5602226,2.278996
17,0.115541354,-0.528222,2.4497557
18,-0.16544567,-0.5589533,2.278411
19,0.11639953,-0.5265629,2.4485712
20,-0.16436161,-0.5595999,2.2783384
21,0.11707125,-0.5253047,2.446909
22,-0.16479121,-0.55880505,2.2796247
23,0.116545334,-0.5254603,2.4478445
24,-0.16509923,-0.5573695,2.2799706
25,0.11619343,-0.5250198,2.4475482
26,-0.16603298,-0.5572427,2.2793052
27,0.114996724,-0.52396107,2.4473495
28,-0.1662547,-0.55768096,2.278925
29,0.114110105,-0.52376485,2.4475055
30,-0.16595666,-0.5554749,2.2778106
31,0.11443058,-0.5237002,2.4473414
32,-0.16639936,-0.55454326,2.277186
33,0.115006216,-0.52397054,2.4467845
34,-0.1663402,-0.55607426,2.2777617
35,0.115100816,-0.5249507,2.4464755
36,-0.16645211,-0.55679584,2.277906
37,0.11644091,-0.52440345,2.4458647
38,-0.16695473,-0.55522835,2.2769866
39,0.11717254,-0.5241285,2.4460776
40,-0.16624545,-0.5544004,2.27792
41,0.11765758,-0.5245199,2.4465566
42,-0.16477047,-0.5558353,2.2794049
43,0.120370895,-0.52440476,2.445261
44,-0.16440251,-0.55588436,2.27912
45,0.12068042,-0.5249023,2.4459903
46,-0.16362365,-0.556627,2.2791424
47,0.12029761,-0.5246189,2.4458203
48,-0.16320997,-0.5559344,2.2782223
49,0.1197685,-0.52448446,2.4462407
50,-0.16243951,-0.55483484,2.2773926
51,0.120129645,-0.52336055,2.4455903
52,-0.16135177,-0.5543594,2.2760751
53,0.120065495,-0.5226551,2.444699
54,-0.1605829,-0.55434597,2.2733045
55,0.11957321,-0.5231642,2.444579
56,-0.15978289,-0.55530125,2.2693923
57,0.11945493,-0.5239461,2.4440963
58,-0.15813182,-0.5545366,2.2643223
59,0.120202884,-0.52475095,2.4428608
60,0.11841886,-0.525565,2.442811
61,0.11828043,-0.52738607,2.44318
62,0.12203856,-0.5263792,2.4390397
63,0.12774235,-0.5245075,2.4321158
64,0.13189635,-0.5246457,2.4253964
65,-0.40229303,-0.6430054,1.8925383
66,-0.4036863,-0.643065,1.8903346
67,-0.40477425,-0.64476955,1.8886765
68,-0.40551767,-0.64733624,1.8871214
69,-0.40579432,-0.64966094,1.8868694
70,-0.40456194,-0.6527016,1.8908068
71,-0.24512976,-0.6221278,2.0186837
72,-0.40524817,-0.6516807,1.891208
73,-0.24129601,-0.6234187,2.0193548
74,-0.40448946,-0.6497451,1.8903352
75,-0.23708394,-0.62351084,2.021719
76,-0.40367413,-0.64852524,1.8917227
77,-0.23519613,-0.62395054,2.0239434
78,-0.40243432,-0.649295,1.8920368
79,-0.23328811,-0.6248375,2.024426
80,-0.40177572,-0.64892954,1.893085
81,-0.23215601,-0.62530583,2.024447
82,-0.40311867,-0.64818525,1.8922733
83,-0.23335329,-0.6238071,2.0256886
84,-0.40577063,-0.6462752,1.8898096
85,-0.2334514,-0.62391746,2.025372
86,-0.23364627,-0.62506723,2.0259202
87,-0.23160756,-0.62509197,2.0252569
88,-0.22981125,-0.6237359,2.0241234
89,-0.5281712,-0.66106725,1.8061473
90,-0.22998258,-0.62388,2.0219233
91,-0.526759,-0.66305566,1.8064532
92,-0.23027375,-0.62249887,2.021798
93,-0.5268208,-0.6645298,1.8054963
94,-0.23158206,-0.618388,2.0205324
95,-0.52755445,-0.664926,1.805475
96,-0.528703,-0.6657204,1.8054874
97,-0.5293497,-0.66694283,1.8060807
98,-0.3196451,-0.6264094,1.9813299
99,-0.5293805,-0.66679806,1.8071895
100,-0.3174876,-0.6284999,1.9831635
101,-0.5299681,-0.66576886,1.8073652
102,-0.31448978,-0.6285608,1.9847032
103,-0.5303366,-0.66392505,1.8073097
104,-0.31507745,-0.6287435,1.9843848
105,-0.5294408,-0.6636739,1.8080504
106,-0.31640327,-0.62880903,1.983994
107,-0.52961254,-0.6637062,1.8078777
108,-0.31616622,-0.628237,1.9837973
109,-0.5293205,-0.6647759,1.8084561
110,-0.5292411,-0.6654795,1.8074591
111,-0.52815086,-0.66543764,1.8052555
112,-0.5246832,-0.6655256,1.8047435
113,0.14959267,-0.5729171,2.3218744
114,0.47654122,-0.55706406,2.3045187
115,0.47029305,-0.5555846,2.3043206
116,0.7132152,-0.49116528,2.6315246
117,0.7177293,-0.4871382,2.631885
118,0.72085667,-0.48507005,2.6338732
119,0.4637817,-0.5213726,2.404003
120,0.72013116,-0.4858588,2.634625
121,0.4635057,-0.52393115,2.403336
122,0.72068566,-0.48813838,2.6343322
123,0.4631598,-0.52511567,2.40575
124,0.72228384,-0.48560792,2.6338477
125,0.46103165,-0.5275668,2.408803
126,0.7227013,-0.4842283,2.6323614
127,0.4589886,-0.5297433,2.4106793
128,0.7218045,-0.4835899,2.629033
129,0.45868152,-0.53037846,2.4126945
130,0.7194455,-0.48340008,2.6276205
131,0.45890987,-0.5294009,2.412677
132,0.7182733,-0.48417038,2.6273587
133,0.4589724,-0.5290494,2.4115005
134,0.7187178,-0.4854888,2.6283188
135,0.4589262,-0.52938306,2.411071
136,0.71941537,-0.4866753,2.6289682
137,0.45880997,-0.53147334,2.412088
138,0.7207299,-0.48645553,2.629391
139,0.45905745,-0.53052497,2.41079
140,0.72214913,-0.48631978,2.6297839
141,0.72222227,-0.486688,2.6301084
142,0.72032857,-0.48556614,2.6295238
143,0.7204962,-0.4858257,2.62881
144,0.72208554,-0.48596126,2.62666
145,0.067986734,-0.5741558,2.2657843
146,0.06587495,-0.5739736,2.2686653
147,0.06292855,-0.57115626,2.268322
148,-0.028331771,-0.50758874,2.5081735
149,-0.30356932,-0.537203,2.3029468
150,-0.037914623,-0.50521094,2.4991899
151,-0.30384228,-0.53830355,2.3062382
152,-0.3057711,-0.5393076,2.3046255
153,-0.30838832,-0.53837603,2.3019738
154,-0.3084487,-0.5382831,2.2980251
155,-0.30740532,-0.541012,2.2956495
156,-0.30799812,-0.5466272,2.292057
157,0.22251242,-0.6200566,2.038991
158,0.2900171,-0.7137923,1.498455
159,0.29019105,-0.71591425,1.497643
160,0.28970987,-0.712599,1.4991475
161,0.28955102,-0.71221876,1.4995457
162,0.28813726,-0.710051,1.5011728
163,0.46663463,-0.68662786,1.7591128
164,0.46150035,-0.6826041,1.7630643
165,0.45738998,-0.6815837,1.766477
166,0.19170865,-0.6855325,1.61404
167,0.45619816,-0.68189675,1.7684789
168,0.19248173,-0.68780553,1.612653
169,0.45513606,-0.6808927,1.7705036
170,0.19248357,-0.68993264,1.6123123
171,0.19168012,-0.68975496,1.6141219
172,0.19048819,-0.68817,1.6159074
173,0.43078694,-0.669258,1.8090999
174,0.19026896,-0.6871043,1.614949
175,0.4304576,-0.66894,1.8094282
176,0.19088353,-0.68740547,1.6134322
177,0.43029922,-0.66758996,1.809912
178,0.19074887,-0.68838423,1.613762
179,0.43084377,-0.66739786,1.8103765
180,0.19056073,-0.6911544,1.6130532
181,0.43141425,-0.6683901,1.811054
182,0.19134384,-0.69289386,1.6117467
183,0.43161947,-0.66758734,1.8107269
184,0.19218516,-0.69399464,1.6100984
185,0.43148053,-0.6675408,1.8107753
186,0.19288924,-0.6946703,1.6059391
187,0.43178725,-0.66861486,1.8109387
188,0.1940088,-0.6935164,1.6022444
189,0.43258026,-0.67022765,1.8099719
190,0.19462427,-0.69170535,1.5993689
191,0.43306625,-0.67135096,1.8085517
192,0.43229258,-0.6742876,1.8083378
193,0.43013668,-0.6707685,1.8095392
194,0.42999703,-0.67068917,1.8105757
195,-0.058460444,-0.6008472,2.0682318
196,-0.0511002,-0.60491455,2.0717912
197,-0.0529673,-0.6060873,2.0798943
198,-0.20142251,-0.46664524,2.681089
199,-0.70707446,-0.4114857,2.8816087
200,-0.7090765,-0.40565616,2.8868594
201,-0.7155695,-0.40059954,2.8995168
202,-0.7139257,-0.39955252,2.8986437
203,-0.51245177,-0.35556406,3.1806073
204,-0.71159565,-0.39661473,2.898426
205,-0.5096535,-0.35847992,3.176522
206,-0.70945925,-0.39361313,2.900122
207,-0.5103693,-0.3643208,3.1749263
208,-0.51264584,-0.36330038,3.1760569
209,-0.5139216,-0.36102304,3.1790097
210,-0.5148712,-0.36314064,3.1822681
211,-0.5151339,-0.36394516,3.1828403
212,-0.77289295,-0.36045197,3.0669513
213,-0.51648295,-0.36281338,3.1830952
214,-0.7702207,-0.36376658,3.0669112
215,-0.51745653,-0.36302572,3.1825318
216,-0.7676862,-0.3670485,3.0653386
217,-0.5188742,-0.3642336,3.1834776
218,-0.77040946,-0.36640412,3.0653605
219,-0.5224267,-0.36334258,3.1872911
220,-0.77479184,-0.36781383,3.0643911
221,-0.77827084,-0.3666368,3.0606194
222,-0.7790747,-0.36713278,3.058683
223,-0.780426,-0.36863038,3.0593328
224,-0.6070738,-0.3325072,3.2986305
225,-0.7815568,-0.3629798,3.058718
226,-0.6054653,-0.3341314,3.2961059
227,-0.78208315,-0.35696137,3.0605278
228,-0.60326415,-0.33644855,3.2968433
229,-0.78246737,-0.35855657,3.0612087
230,-0.60217756,-0.3362932,3.2983856
231,-0.6011495,-0.33683723,3.297638
232,-0.6024865,-0.33588666,3.2972603
233,-0.60265803,-0.33758095,3.2962368
234,-0.6004766,-0.3409703,3.2941399
235,-0.6002293,-0.34171396,3.2928622
236,-0.59967256,-0.34639126,3.2921119
237,-0.6823306,-0.4433572,2.7252128
238,-0.6830746,-0.44398734,2.7296546
239,-0.68336874,-0.44316065,2.7333174
240,-0.68142176,-0.44265828,2.7288392
241,-0.6823423,-0.44391304,2.7194722
242,-0.3315053,-0.5696618,2.2158322
243,-0.33064175,-0.5657192,2.213298
244,-0.32293683,-0.7295083,1.4892415
